팀,실제득점,실제실점,실제승점,승,무,패,xG,xGA,xPTS,PPDA,DC,득점차(실제-xG),승점차(실제-xPTS),시즌
Chelsea,64,43,69,20,9,9,73.12,54.26,62.56,11.4,337,-9.12,6.44,24-25
Newcastle United,68,47,66,20,6,12,71.48,53.98,62.61,10.78,349,-3.48,3.39,24-25
Aston Villa,58,51,66,19,9,10,66.39,55.0,61.53,13.55,285,-8.39,4.47,24-25
Nottingham Forest,58,46,65,19,8,11,52.75,55.92,50.01,15.3,220,5.25,14.99,24-25
Brighton,66,59,61,16,13,9,65.28,59.12,57.26,10.57,322,0.72,3.74,24-25
Bournemouth,58,46,56,15,11,12,72.62,53.99,65.03,8.91,283,-14.62,-9.03,24-25
Brentford,66,57,56,16,8,14,67.12,60.86,54.94,11.89,278,-1.12,1.06,24-25
Fulham,54,54,54,15,9,14,58.0,49.23,57.6,13.93,232,-4.0,-3.6,24-25
Crystal Palace,51,51,53,13,14,11,67.78,58.88,58.16,15.3,243,-16.78,-5.16,24-25
Everton,42,44,48,11,15,12,46.87,53.66,47.65,15.1,186,-4.87,0.35,24-25
West Ham,46,62,43,11,10,17,50.59,68.09,41.76,13.91,224,-4.59,1.24,24-25
Wolverhampton Wanderers,54,69,42,12,6,20,45.37,61.57,41.45,12.19,215,8.63,0.55,24-25
Manchester United,44,54,42,11,9,18,56.91,60.73,52.24,10.61,309,-12.91,-10.24,24-25
Tottenham,64,65,38,11,5,22,65.36,68.23,50.07,10.88,316,-1.36,-12.07,24-25
Leicester,33,80,25,6,7,25,38.06,85.89,26.43,15.96,159,-5.06,-1.43,24-25
Ipswich,36,82,22,4,10,24,40.42,83.73,28.45,15.57,132,-4.42,-6.45,24-25
Southampton,26,86,12,2,6,30,38.63,98.35,22.69,13.49,179,-12.63,-10.69,24-25
