team,season,xG,xGA,xPTS,PPDA,DC,실제득점,실제실점,실제승점,승,무,패,득실차,승점차(실제-xPTS),순위,팀,시즌,cluster,군집
Chelsea,23-24,80.88,62.6,64.2,10.54,382,77,63,63,18,9,11,14,-1.2000000000000028,6,Chelsea,23-24,1,상위권
Newcastle United,23-24,84.48,62.46,65.59,10.99,348,85,62,60,18,6,14,23,-5.590000000000003,7,Newcastle United,23-24,1,상위권
Manchester United,23-24,60.33,74.76,44.42,12.89,319,57,58,60,18,6,14,-1,15.579999999999998,8,Manchester United,23-24,0,중위권
West Ham,23-24,54.53,77.91,41.28,18.65,159,60,74,52,14,10,14,-14,10.719999999999999,9,West Ham,23-24,2,하위권
Crystal Palace,23-24,53.94,57.99,50.46,15.05,244,57,58,49,13,10,15,-1,-1.4600000000000009,10,Crystal Palace,23-24,0,중위권
Brighton,23-24,61.91,60.94,54.43,10.66,361,55,62,48,12,12,14,-7,-6.43,11,Brighton,23-24,0,중위권
Everton,23-24,60.75,60.26,53.1,15.05,237,40,51,48,13,9,16,-11,-5.100000000000001,12,Everton,23-24,0,중위권
Bournemouth,23-24,63.76,65.51,53.47,10.37,303,54,67,48,13,9,16,-13,-5.469999999999999,13,Bournemouth,23-24,0,중위권
Fulham,23-24,52.81,66.9,44.98,15.64,288,55,61,47,13,8,17,-6,2.020000000000003,14,Fulham,23-24,0,중위권
Wolverhampton Wanderers,23-24,50.65,76.11,39.79,13.55,216,50,65,46,13,7,18,-15,6.210000000000001,15,Wolverhampton Wanderers,23-24,2,하위권
Brentford,23-24,64.29,60.26,52.94,10.99,286,56,65,39,10,9,19,-9,-13.939999999999998,16,Brentford,23-24,0,중위권
Nottingham Forest,23-24,52.16,56.25,50.17,21.25,213,49,67,36,9,9,20,-18,-14.170000000000002,17,Nottingham Forest,23-24,2,하위권
Luton,23-24,49.87,91.65,32.33,14.68,178,52,85,26,6,8,24,-33,-6.329999999999998,18,Luton,23-24,2,하위권
Burnley,23-24,43.44,75.72,33.69,14.28,211,41,78,24,5,9,24,-37,-9.689999999999998,19,Burnley,23-24,2,하위권
Sheffield United,23-24,41.31,85.71,28.53,24.95,169,35,104,16,3,7,28,-69,-12.530000000000001,20,Sheffield United,23-24,2,하위권
Liverpool,24-25,93.24,42.32,81.84,9.47,442,86,41,84,25,9,4,45,2.1599999999999966,1,Liverpool,24-25,1,상위권
Arsenal,24-25,73.57,39.98,72.96,9.43,366,69,34,74,20,14,4,35,1.0400000000000063,2,Arsenal,24-25,1,상위권
Manchester City,24-25,73.15,52.9,64.66,12.85,431,72,44,71,21,8,9,28,6.340000000000003,3,Manchester City,24-25,1,상위권
